pathway	SM001	SM002	SM003	SM004	SM005	SM006	SM007	SM008	SM009	SM010	SM011	SM012	SM013	SM014	SM015	SM016	SM017	SM018	SM019	SM020	SM021	SM022	SM023	SM024	SM025	SM026	SM027	SM028	SM029	SM030	SM031	SM032	SM033	SM034	SM035	SM036	SM037	SM038	SM039	SM040	SM041	SM042	SM043	SM044	SM045	SM046	SM047	SM048	SM049	SM050	SM051	SM052	SM053	SM054	SM055	SM056	SM057	SM059	SM060	SM061	SM062	SM063	SM064	SM065	SM066	SM067	SM068	SM069	SM070	SM071	SM072	SM073	SM074	SM075	SM076	SM077	SM078	SM079	SM080	SM081	SM082	SM083	SM084	SM085	SM086	SM087	SM088	SM089	SM090	SM091	SM092	SM093
ASPASN-PWY	5549.85761904762	2087.5714285714284	15748.910700280112	13112.286666666667	14994.659859943977	4735.093333333333	9863.94619047619	16117.743333333334	267.42857142857144	14913.959047619048	1819.6666666666665	3975.177142857143	318.4114285714286	24239.705714285712	11185.287619047618	18691.480952380953	17585.52047619048	6032.771428571428	15798.231558441557	2275.7361904761906	15880.519493251846	47291.40714285714	21302.438095238096	26164.97857142857	15306.019047619047	31765.51761904762	17644.853809523807	16319.303977591037	8890.912857142857	210.66857142857145	11604.42857142857	90261.97619047618	11092.204285714286	17767.040840336136	12198.360532212886	11114.047619047618	20328.13450980392	21970.867142857143	3150.4500000000003	15844.903809523808	13597.17619047619	16400.68238095238	15.5	9.826666666666666	1764.7271428571428	27773.73857142857	7779.538095238096	41554.98857142857	2474.0709523809523	30378.22619047619	12797.058291316527	22059.51523809524	3813.893333333333	2552.505238095238	49599.56761904762	6767.13	4951.6695238095235	28722.399999999998	16385.54224089636	21183.48380952381	65155.53952380952	7534.28619047619	4933.1638095238095	18253.41238095238	8616.591904761905	7992.035238095238	24223.600000000002	19393.74714285714	13658.089956709957	3571.6209523809525	2042.884761904762	18414.016666666666	63720.76787878788	72932.9638095238	49604.968571428566	18162.85380952381	22474.314285714285	12465.909523809523	22111.356190476192	7241.494285714286	11326.974285714285	62436.58714285714	35261.76	11656.34518207283	29866.2918767507	8546.106478227655	10393.728095238095	33467.09142857143	29065.899999999998	23480.937142857143	36139.811288515404	29807.395497835496
AST-PWY	4054.6076190476188	60.95428571428572	55.827777777777776	18.0	1.71	396.58000000000004	9.0	7740.478571428572	66.0	198.71	1.57	304.35333333333335	17.86	712.4366666666667	1627.51	96.57	5.86	242.65	13838.87	24.22142857142857	6.715714285714286	192.77460317460316	0.0	0.86	0.0	0.0	1963.2547619047623	0.0	47.58	0.0	0.0	0.0	0.0	0.0	1.43	2925.336507936508	4.207777777777777	0.0	2.5700000000000003	0.0	0.57	9.19	0.0	1.3285714285714287	2.0	49.40476190476191	4.444444444444445	0.0	0.0	0.0	262.93	5.0	0.0	1.57	162.6688888888889	0.0	0.0	25138.85	0.0	13629.40142857143	44.03285714285715	3555.5555555555557	203.68555555555557	4.444444444444445	159.29	0.0	0.0	2270.335	39.99	641.0875	901.52	16956.151785714286	53.82142857142858	172.7489285714286	62.15	43.58	108.85000000000001	858.3514285714286	110.98857142857143	262.6775	4601.58	564.627142857143	10625.850000000002	68.99000000000001	0.0	6053.501111111111	9.15	0.0	222.6811111111111	157.7388888888889	1422.29	33.43
BIOTIN-BIOSYNTHESIS-PWY	5158.002187659425	77.09216300940439	68.81754010695187	22.909090909090907	2.1763636363636363	504.7381818181819	11.454545454545455	9126.557865362649	84.0	252.90363636363637	2.6209404388714734	290.96374006037576	22.70711462450593	910.8008556149732	2041.4672727272728	123.73278996865203	1645.3090329815527	257.28181818181815	17615.26075062552	26.51535343723785	5.989278996865204	273.75773634713744	0.0	1.0945454545454545	0.0	145.68239660657477	1377.6081431115429	0.0	60.67989991659716	2.739130434782609	0.0	0.0	1.7895652173913044	0.0	1.8199999999999998	4028.0838910732664	540.4945915485905	0.41999999999999993	3.270909090909091	0.0	219.02674579366115	11.906995785671283	0.0	0.8979310344827586	383.1485771731178	53.39514062037487	6.11764705882353	208.52284573638576	0.0	31.565681492109043	364.3473538631754	6.783636363636363	0.0	1.9981818181818183	218.07026737967917	0.0	0.0	31994.54222504261	0.0	15592.780208061009	47.4120414440667	4894.117647058824	282.68709867389026	6.740405679513184	187.45999999999998	0.0	0.0	21373.275508732604	51.00810675562969	738.1818181818181	1026.154071146245	7898.654450606865	60.32553990610329	128.52649631879456	72.82772608960018	55.46545454545454	138.53636363636363	1096.9194603631433	137.39889773423147	6034.124724539387	5818.086371976648	383.6143571285524	7184.804846023864	87.79770750988143	0.0	7717.3623593190405	11.645454545454545	0.0	27030.077839767437	208.42569886670265	1810.1736677115987	42.54727272727273
BRANCHED-CHAIN-AA-SYN-PWY	32663.735240436054	61392.62987040267	26839.34379530742	57916.66410037817	39803.557336064194	58354.18171331857	25856.070063923005	15737.373658402856	129468.23285756915	91012.21885949743	47584.64389424756	11137.495634066043	798.5105633484163	45624.182669359216	59231.962224448755	31452.49078092865	45659.24674074022	33588.74421568628	16680.475289483464	24949.366912533947	67866.25391433429	117115.59802958045	41191.93892495683	93540.82018194688	92613.03648053424	79247.12353879679	26252.9664151635	58722.30515146973	40960.556281080106	144316.30207476526	27060.121292106585	111316.86943093849	93845.22981300102	47312.01763718308	86855.805155534	70783.38760763688	35864.59558594109	28394.01839090151	25288.842884579473	85679.6835094573	94442.80737784055	124469.47601464042	85961.23803875508	188215.95848033752	107172.19752489067	108425.6288507222	127588.9778671279	73594.92049882383	75663.66895424837	105577.38927052983	103193.73104001266	61047.96149849014	38598.11952548021	72974.89481522911	88346.10605012838	94343.14606882886	3751.583656424251	30168.84222222222	82938.46459767854	19166.92194184606	147449.44023081844	92758.24663761424	152297.06186487395	108161.75789768528	104480.84611248357	59070.59845329436	130192.56275676937	34278.98000493614	56300.29107516045	96665.81970501889	45634.742234252204	57358.378602605204	158814.62981897584	89343.61569266656	108943.93449585483	83185.27199439776	79435.79892857125	75163.57009977582	75660.64506402735	42396.355356950065	102959.91086359051	142288.7685471201	40162.633973836484	67834.42618392463	80371.88159879336	60378.81151081924	42382.242964160025	55309.53127230825	56539.704434992316	67225.08408765952	55258.26810547809	73021.65759113479
CALVIN-PWY	25468.702282498452	19110.65996734694	7577.451931818182	52453.116818181814	29326.49558181818	39747.4807513986	46924.94863636363	10513.770822605966	106123.47227272727	82395.42477762238	28062.43589090909	7829.414495504495	739.1434	36136.46535104895	16881.227779020977	26056.860254545452	43825.0784	29589.541454545455	19961.152574358974	19958.21820037106	59002.29024823748	85002.98942486085	31448.5	78979.68430909091	46223.58	93294.69727272727	34359.15624526902	53847.08545454546	5529.549324009324	127603.96	301.3181818181818	92814.11363636363	78900.54118181817	59420.281818181815	39846.66101818182	23385.339795918368	38799.38010909091	20465.150727272725	43114.973597202785	50654.20181818181	73209.00443636364	111013.38567272727	51822.75	169540.17011131725	35885.880909090905	119528.8858410637	96356.42272727273	42746.39	64077.72	45841.115454545456	83690.60256363636	50592.55709090909	35955.953636363636	63136.279436363635	65967.23189300699	82396.32636363637	11592.598636363637	36062.952430769226	33137.91272727273	17616.047740031398	74155.02460493792	77836.01181818183	108215.39914638695	90765.25418181818	87662.80418321678	46362.07227272727	38356.12181818182	52304.835314685304	18167.114262937062	28082.322513286712	37940.119594405594	48061.18861655487	129049.59249108034	110225.93001096045	103975.26884195804	32556.1466513986	37628.17013566434	58295.04268228914	40297.36042899957	24854.209283916083	68384.6264037296	65300.49227977737	41508.72083156843	48314.63969090909	58215.725	54205.319151515156	81868.8928181818	76335.55045454546	35918.70378951049	60882.41601142191	65371.573599999996	40974.405109090905
CATECHOL-ORTHO-CLEAVAGE-PWY	69.75	0.38	6.383589743589743	0.0	0.0	0.0	0.0	633.66	1.33	0.0	0.0	76.50307692307692	0.0	43.38461538461539	25.066666666666666	0.0	4.83	43.199999999999996	0.0	3.37	2.0	164.13	0.0	0.0	0.0	6.67	961.5915384615384	0.0	0.0	0.0	0.0	5.5	3.0	0.0	0.0	3240.7738461538465	429.99863736263734	0.0	0.0	0.0	0.0	13.666	0.0	0.62	5.73	17.46153846153846	4.923076923076923	156.32999999999998	0.0	0.0	291.4392307692308	0.0	0.0	0.0	117.84615384615385	0.0	0.0	0.0	0.0	1464.13	7.24	3939.1315384615386	177.761978021978	5.923076923076923	12.8	0.0	0.0	3042.1566666666668	0.0	65.16	101.6	11496.463333333333	6.38	74.17333333333333	66.12933333333332	0.0	0.0	5.76	3.0	4.2647619047619045	40.266666666666666	264.908	4953.13	0.0	0.0	21.307692307692307	0.0	0.0	20050.84857142857	243.68615384615384	7.66	0.0
COA-PWY	7306.142857142857	243.67	322.4	18252.0	333.33	212.47	16.628571428571426	136.32999999999998	102.4	15.0	10623.66	0.0	62.93142857142857	36.0	808.6	492.0	4578.0	952.5	0.0	6281.67	267.86	166.0	192.0	4570.0	12438.135714285714	2276.33	283.67	6009.0	1349.4285714285713	189.0	6.0	49.0	4048.67	212.67000000000002	10308.285714285714	7071.394285714286	28.33	79.0	6.055714285714285	1093.0	3618.33	0.0	12364.354285714286	199.5	712.3299999999999	2036.2	37063.93	145.85714285714286	36362.5	2253.33	1139.33	3466.0	2248.34	32876.2	3611.4142857142856	2867.47	748.47	0.0	1200.4571428571428	350.0	829.4828571428571	3782.17	11508.992857142857	6036.66	1584.33	12331.5	9005.187142857143	1423.25	932.8	11170.0	672.0	186.0	7.0	11.0	272.0	225.0	970.0	13996.5	15167.285714285714	2.0	0.0	0.0	502.33	6728.0	66.0	1729.8600000000001	20.74285714285714	370.83	8338.0	921.8771428571429	335.6	1786.69
COBALSYN-PWY	91.43015384615384	249.30615384615388	3226.71	480.67999999999995	58.71	540.3482857142857	620.8	1005.613846153846	66.0	335.83	12.57	762.2316043956043	17.86	753.7688571428571	1671.5497142857143	485.69	1115.46	241.03	13654.480857142857	29.666153846153847	287.49923076923073	1764.6684615384615	119.8	928.78	26.3	4986.971428571428	1370.7053846153844	114.64	686.3428571428572	0.0	812.3	163.32	162.44	164.48	160.03	2622.1576923076923	365.93	32.0	222.19857142857143	442.86	150.67	3.86	0.0	0.8584615384615383	11.0	91.48076923076923	583.0	783.168	0.0	222.0	609.28	381.08	346.79999999999995	3.49	152.2462857142857	13.0	19.846108374384233	25150.698857142856	1544.76	3087.6869230769225	123.16230769230769	3245.92	6548.84	42.72	1377.078	7.0	48.36	1322.0	1433.143142857143	729.968	972.4648571428571	16030.666637362638	60.73670329670329	142.99283516483516	11.45	230.87314285714285	725.7151428571428	2063.301076923077	1218.7041318681318	320.3237142857143	6105.138857142857	365.186923076923	6886.1799999999985	511.79	627.4	6075.527428571429	1015.15	170.0	20251.17057142857	897.3148571428571	5140.332857142857	1193.05
COLANSYN-PWY	4371.2389019607845	70.75294117647059	58.82352941176471	21.176470588235293	2.011764705882353	462.8202614379085	10.588235294117647	7530.058574885274	77.64705882352942	232.40392156862748	1.8470588235294119	169.74771241830067	19.882666666666665	787.3954248366013	1875.6790849673203	113.61176470588235	6.894117647058824	237.82352941176472	16209.827450980394	20.0	2.858823529411765	14.117647058823529	0.0	1.011764705882353	0.0	0.0	0.0	0.0	253.44802201582388	0.0	0.0	0.0	0.0	0.0	1.6823529411764706	0.0	1.6823529411764706	0.0	2.958169934640523	0.0	0.6705882352941176	1.011764705882353	0.0	0.0	0.0	23.529411764705884	0.0	0.0	0.0	0.0	0.4777777777777778	5.882352941176471	0.0	1.8470588235294119	65.7169934640523	0.0	0.0	29376.238535947712	0.0	12390.736253650397	35.0	0.0	41.17950215547212	0.0	171.4797385620915	0.0	0.0	18.068617021276598	45.198692810457516	667.8993464052288	935.3915294117646	7168.437908496732	45.95555555555556	75.84234459741344	11.678097622027535	50.69150326797386	124.83790849673203	988.4936720142603	121.31900653594772	300.2843137254902	5299.855555555556	1.6823529411764706	13.967973856209152	80.8693071895425	0.0	7002.7555555555555	10.577777777777778	0.0	82.48039215686276	98.07777777777778	1639.1084967320262	39.32941176470588
COMPLETE-ARO-PWY	31749.598716048193	54358.73587134016	25146.279919432916	56039.86364692218	35113.29408826945	54303.70202724105	23194.593347270617	14373.091628741493	123260.86214549677	87257.29340154154	44084.699242518254	9717.70430732522	780.7440301974448	44731.11117865683	43995.95207441092	25396.426197635752	42507.47191637631	28765.039201559084	16271.428292682927	23304.66148288074	60057.32360237772	113562.11388464707	38881.80952380952	77322.73835307782	84597.81676190476	61564.58452497097	18685.70425373306	54363.13149825784	40652.17833131609	138075.25913419912	23011.480952380953	110870.2556118678	84147.57628507788	42426.492963995355	80058.29681300813	64887.03956623115	26585.046422354306	20136.213309468123	23563.194590011615	81982.90914285714	83522.54897582093	119773.16161315107	78224.66457607433	180738.6324369748	99425.33166833167	94165.86079438837	121625.11100840336	49558.20214866434	75199.63168408826	94147.90213704994	96552.94194187966	42761.08926660042	37605.150536374196	72015.75852497097	83516.94430183781	88980.53889177488	3205.774761904762	29432.982113821145	79053.98838095237	18331.22301230437	128653.78127416932	86678.82314545331	141145.75279332476	88813.80338828832	99169.35031258668	55244.689898637946	82513.50048083624	33329.75547428182	52391.825866095394	82438.37101210246	42277.91755081665	53522.99486557828	106369.6969078363	5260.781703132689	79347.00350161345	75184.86086875726	66884.98836433486	72152.28717717913	70150.61362861242	38249.84232108122	98390.91393967372	113626.49809105042	32006.080963689445	59151.602113821136	70069.71428571429	50790.08886759582	39369.49619512195	35933.17752380952	54194.28699561176	64699.36120953747	32899.99410895263	55880.38399535424
